total-folder/poc-in-gh/poc-in-gh-954/PoC_Hitting_Vulnerable_Path.py, 1, stdout: None, stderr: None
total-folder/edb/edb-2533/CVE-2022-24637.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-4288/CheckHKRCE.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3739/poc_bi_amf.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-2153/CVE-2020-0688.py, 1, stdout: None, stderr: None
total-folder/edb/edb-2416/CVE-2020-17456.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-507/weblogic.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3214/artifactory_CVE-2020-7931.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-5818/main.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3873/exploit.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-5475/CVE-2021-46422.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-7377/superset.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-6803/CVE-2022-37298.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3282/exploit.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-5785/CVE-2022-20699.py, 255, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-527/CVE-2018-3810_exploit.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-1871/cve-2019-6447.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-7294/lol.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-1987/zimbra.py, 2, stdout: None, stderr: None
total-folder/edb/edb-998/CVE-2019-11563.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3153/exploit.py, 1, stdout: None, stderr: None
total-folder/edb/edb-2639/CVE-2021-21276.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-1760/CVE-2019-3403.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-6091/zabbix_session_exp.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3053/CVE-2020-36287.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-6920/poc.py, 2, stdout: None, stderr: None
total-folder/edb/edb-2713/CVE-2023-27350.py, 1, stdout: None, stderr: None
